unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1612764960,02/08/2021 06:16:00,BTC/USD,39038.05,39044.07,39038.05,39044.07,0.4523952,17663.349856464
1612764900,02/08/2021 06:15:00,BTC/USD,39020.77,39067.18,39007.17,39031.26,6.00282625,234297.872098575
1612764840,02/08/2021 06:14:00,BTC/USD,38985,39021.45,38985,39021.45,7.92961318,309425.00422271
1612764780,02/08/2021 06:13:00,BTC/USD,38960,38974.68,38952.81,38973.01,8.48275717,330598.580013981
1612764720,02/08/2021 06:12:00,BTC/USD,38913.56,38960,38902.95,38960,7.66920025,298792.04174
1612764660,02/08/2021 06:11:00,BTC/USD,38890,38924.75,38890,38924.75,0.60442059,23526.9203606025
1612764600,02/08/2021 06:10:00,BTC/USD,38830.61,38864.15,38830.61,38864.15,1.15088433,44728.1412337695
1612764540,02/08/2021 06:09:00,BTC/USD,38836,38836,38835.08,38835.08,6.72546686,261184.043545448
1612764480,02/08/2021 06:08:00,BTC/USD,38810.23,38839.9,38799.6,38839.9,6.80085493,264144.525395707
1612764420,02/08/2021 06:07:00,BTC/USD,38769.73,38832.5,38769.73,38832.5,1.877199,72896.3301675
1612764360,02/08/2021 06:06:00,BTC/USD,38720.71,38769.71,38720.71,38759.89,5.61544927,217654.19600578
1612764300,02/08/2021 06:05:00,BTC/USD,38767.07,38783.09,38730.62,38733.56,0.88944969,34451.5529345963
1612764240,02/08/2021 06:04:00,BTC/USD,38797.64,38800,38797.64,38800,0.1090004,4229.21552
1612764180,02/08/2021 06:03:00,BTC/USD,38745.77,38745.77,38745.77,38745.77,0.00765,296.405140499999
1612764120,02/08/2021 06:02:00,BTC/USD,38696.63,38709.88,38696.63,38709.88,0.36582913,14161.2017228043
1612764060,02/08/2021 06:01:00,BTC/USD,38650.59,38650.59,38650.59,38650.59,0.16523754,6386.52841114859
1612764000,02/08/2021 06:00:00,BTC/USD,38717.1,38717.1,38717.1,38717.1,0.21724219,8410.987594449
1612763940,02/08/2021 05:59:00,BTC/USD,38701.36,38736.13,38701.36,38701.67,8.30862158,321557.530544038
1612763880,02/08/2021 05:58:00,BTC/USD,38702.66,38702.66,38661.84,38661.84,4.83826002,187056.034771636
1612763820,02/08/2021 05:57:00,BTC/USD,38715.33,38725.06,38701.61,38701.61,0.74638693,28886.3758739573
1612763760,02/08/2021 05:56:00,BTC/USD,38713.84,38713.84,38713.84,38713.84,0.011148,431.581888319999
1612763700,02/08/2021 05:55:00,BTC/USD,38683.38,38716.17,38683.38,38711.94,0.91770603,35526.1807709982
1612763640,02/08/2021 05:54:00,BTC/USD,38700,38700,38677.53,38677.53,0.9266056,35838.815892168
1612763580,02/08/2021 05:53:00,BTC/USD,38729.03,38754.58,38729.01,38729.01,0.50886333,19707.7729962032
1612763520,02/08/2021 05:52:00,BTC/USD,38731.68,38768.18,38728.63,38728.63,0.8445254,32707.3117422019
1612763460,02/08/2021 05:51:00,BTC/USD,38783.14,38783.14,38726.49,38726.49,5.62287418,217754.180703028
1612763400,02/08/2021 05:50:00,BTC/USD,38792.78,38816.39,38773.34,38773.34,0.2354353,9128.612934902
1612763340,02/08/2021 05:49:00,BTC/USD,38760.93,38797.43,38760.93,38797.43,0.34611035,13428.1920764005
1612763280,02/08/2021 05:48:00,BTC/USD,38831.07,38831.07,38755.96,38755.96,0.75060694,29090.4925423623
1612763220,02/08/2021 05:47:00,BTC/USD,38838.49,38850.69,38821.48,38821.48,1.4470792,56177.756221216
1612763160,02/08/2021 05:46:00,BTC/USD,38876.83,38884.64,38846.36,38861.96,1.9810724,76988.356365904
1612763100,02/08/2021 05:45:00,BTC/USD,38857.65,38881.64,38851.88,38881.64,1.26533421,49198.2692329044
1612763040,02/08/2021 05:44:00,BTC/USD,38879.61,38890,38857.65,38857.65,1.47744956,57410.217895134
1612762980,02/08/2021 05:43:00,BTC/USD,38871.24,38890,38856.27,38880.6,8.8377366,343616.501649959
1612762920,02/08/2021 05:42:00,BTC/USD,38814,38881.31,38804.3,38859.41,7.35086802,285650.394245068
1612762860,02/08/2021 05:41:00,BTC/USD,38782.75,38806,38768.81,38806,1.59766971,61999.1707662599
1612762800,02/08/2021 05:40:00,BTC/USD,38734.04,38798,38734.04,38798,0.13381601,5191.79355598
1612762740,02/08/2021 05:39:00,BTC/USD,38707.75,38723.94,38690.63,38723.94,0.29086688,11263.5116091072
1612762680,02/08/2021 05:38:00,BTC/USD,38735.66,38735.66,38726.8,38734.23,0.392899,15218.64023277
1612762620,02/08/2021 05:37:00,BTC/USD,38717.66,38749.3,38717.66,38729.71,0.49998582,19364.3058127122
1612762560,02/08/2021 05:36:00,BTC/USD,38713.54,38735.8,38691.48,38735.8,3.05526173,118348.007320934
1612762500,02/08/2021 05:35:00,BTC/USD,38675.93,38762.84,38675.93,38741.57,0.64442238,24965.9347443366
1612762440,02/08/2021 05:34:00,BTC/USD,38666.89,38688.12,38665.08,38675.93,1.26814907,49046.8446608851
1612762380,02/08/2021 05:33:00,BTC/USD,38701.09,38718.16,38667.25,38667.25,0.5968,23076.6148
1612762320,02/08/2021 05:32:00,BTC/USD,38683.81,38703.28,38681.88,38703.28,0.28111773,10880.1782171544
1612762260,02/08/2021 05:31:00,BTC/USD,38684.39,38697.55,38684.08,38694.25,0.70261752,27187.25797326
1612762200,02/08/2021 05:30:00,BTC/USD,38684.17,38712.35,38668.64,38668.64,0.30883937,11942.3984163568
1612762140,02/08/2021 05:29:00,BTC/USD,38688.61,38692,38688.61,38692,0.796,30798.832
1612762080,02/08/2021 05:28:00,BTC/USD,38684.04,38688.76,38657.18,38675.27,1.74446371,67467.6049894516
1612762020,02/08/2021 05:27:00,BTC/USD,38674.44,38709.71,38674.44,38682.64,1.33117467,51493.3505367288
1612761960,02/08/2021 05:26:00,BTC/USD,38684.23,38684.23,38684.23,38684.23,0.435,16827.64005
1612761900,02/08/2021 05:25:00,BTC/USD,38741.67,38797.46,38721.94,38721.94,15.3977049,596229.005275506
1612761840,02/08/2021 05:24:00,BTC/USD,38668.96,38731.07,38668.96,38731.07,1.09729002,42499.2165749214
1612761780,02/08/2021 05:23:00,BTC/USD,38648.05,38656.94,38631.84,38656.94,0.61891697,23925.4361742718
1612761720,02/08/2021 05:22:00,BTC/USD,38632.01,38669.66,38631.96,38669.66,0.4896317,18933.891364222
1612761660,02/08/2021 05:21:00,BTC/USD,38639.92,38640.84,38604.7,38640.84,5.34164701,206405.727449888
1612761600,02/08/2021 05:20:00,BTC/USD,38611.95,38611.95,38611.95,38611.95,0.26,10039.107
1612761540,02/08/2021 05:19:00,BTC/USD,38613.64,38616.82,38613.64,38616.82,0.193,7453.04626
1612761480,02/08/2021 05:18:00,BTC/USD,38612.59,38614.02,38612.03,38612.59,0.93894106,36254.9461839453
1612761420,02/08/2021 05:17:00,BTC/USD,38608.22,38612.16,38600.75,38600.75,0.41315,15947.8998625
1612761360,02/08/2021 05:16:00,BTC/USD,38599.61,38631.45,38599.61,38631.45,1.31069,50633.8552004999
1612761300,02/08/2021 05:15:00,BTC/USD,38622.41,38625.52,38578.49,38578.49,1.98360716,76524.5689859884
1612761240,02/08/2021 05:14:00,BTC/USD,38612.31,38665.06,38612.31,38644.08,0.36,13911.8688
1612761180,02/08/2021 05:13:00,BTC/USD,38641.46,38646.87,38623.96,38623.96,0.70760859,27330.6458758163
1612761120,02/08/2021 05:12:00,BTC/USD,38633.75,38641.99,38633.75,38641.99,0.534,20634.82266
1612761060,02/08/2021 05:11:00,BTC/USD,38643.12,38681.01,38643.12,38681.01,0.205,7929.60705
1612761000,02/08/2021 05:10:00,BTC/USD,38704.33,38705.29,38704.33,38705.29,0.32057241,12407.8480950489
1612760940,02/08/2021 05:09:00,BTC/USD,38579.85,38684.31,38579.85,38684.31,0.80410578,31106.2772663117
